gm (L=4.5e-08) X,gm (L=4.5e-08) YRe,gm (L=4.5e-08) YReImag,gm (L=9e-08) X,gm (L=9e-08) YRe,gm (L=9e-08) YReImag,gm (L=1.35e-07) X,gm (L=1.35e-07) YRe,gm (L=1.35e-07) YReImag,gm (L=1e-06) X,gm (L=1e-06) YRe,gm (L=1e-06) YReImag
1.831463714735483e-09,5.121991253666706e-08,-1.10859643095844e-10,1.831463714735483e-09,5.535482084414844e-08,-1.107850949664208e-10,1.831463714735483e-09,5.597081144615237e-08,-1.107685537451583e-10,1.831463714735483e-09,5.260754281181331e-08,-1.141557006879321e-10
1.85172491487594e-09,5.176859982188389e-08,-1.108631148841816e-10,1.85172491487594e-09,5.594494495490485e-08,-1.107884869724789e-10,1.85172491487594e-09,5.656597195329036e-08,-1.107722499673033e-10,1.85172491487594e-09,5.314709363179517e-08,-1.141743156927421e-10
1.872210261543478e-09,5.232306475342497e-08,-1.108665916442481e-10,1.872210261543478e-09,5.654123866682116e-08,-1.107918848690646e-10,1.872210261543478e-09,5.71673328972573e-08,-1.107759537868152e-10,1.872210261543478e-09,5.369201857067495e-08,-1.141929885560473e-10
1.892922234436497e-09,5.288336661473396e-08,-1.1087007339207e-10,1.892922234436497e-09,5.714376463183568e-08,-1.107952886779171e-10,1.892922234436497e-09,5.777495696344189e-08,-1.107796652311772e-10,1.892922234436497e-09,5.424236946517155e-08,-1.14211719440014e-10
1.91386334068592e-09,5.344956527292654e-08,-1.108735601437559e-10,1.91386334068592e-09,5.775258610990812e-08,-1.10798698420881e-10,1.91386334068592e-09,5.838890744276581e-08,-1.107833843279887e-10,1.91386334068592e-09,5.479819863963484e-08,-1.142305085073144e-10
1.935036115158672e-09,5.402172118416131e-08,-1.10877051915497e-10,1.935036115158672e-09,5.836776697449782e-08,-1.108021141199058e-10,1.935036115158672e-09,5.900924823713574e-08,-1.107871111049659e-10,1.935036115158672e-09,5.535955891047244e-08,-1.142493559211276e-10
1.956443120764516e-09,5.459989539904431e-08,-1.108805487235679e-10,1.956443120764516e-09,5.898937171811007e-08,-1.108055357970475e-10,1.956443120764516e-09,5.963604386496945e-08,-1.107908455899426e-10,1.956443120764516e-09,5.592650359087088e-08,-1.142682618451326e-10
1.978086948766293e-09,5.518414956809797e-08,-1.108840505843267e-10,1.978086948766293e-09,5.961746545787773e-08,-1.108089634744686e-10,1.978086948766293e-09,6.026935946673345e-08,-1.107945878108706e-10,1.978086948766293e-09,5.649908649546907e-08,-1.142872264435189e-10
1.999970219093583e-09,5.57745459472551e-08,-1.10887557514216e-10,1.999970219093583e-09,6.02521139411866e-08,-1.108123971744393e-10,1.999970219093583e-09,6.090926081055501e-08,-1.10798337795821e-10,1.999970219093583e-09,5.707736194506852e-08,-1.143062498809872e-10
2.022095580659844e-09,5.637114740339408e-08,-1.108910695297632e-10,2.022095580659844e-09,6.089338355134722e-08,-1.108158369193374e-10,2.022095580659844e-09,6.155581429787418e-08,-1.108020955729843e-10,2.022095580659844e-09,5.766138477146077e-08,-1.143253323227492e-10
