av0 (L=4.5e-08) X,av0 (L=4.5e-08) YRe,av0 (L=4.5e-08) YReImag,av0 (L=9e-08) X,av0 (L=9e-08) YRe,av0 (L=9e-08) YReImag,av0 (L=1.35e-07) X,av0 (L=1.35e-07) YRe,av0 (L=1.35e-07) YReImag,av0 (L=1e-06) X,av0 (L=1e-06) YRe,av0 (L=1e-06) YReImag
1.935036115158672e-09,-25.30481632224075,5.476738745767906,1.935036115158672e-09,-30.99549752927378,7.696890059720336,1.935036115158672e-09,-32.85360175171171,8.603524611628158,1.935036115158672e-09,-42.31729637026038,16.36517806513234
1.956443120764516e-09,-25.32319711577104,5.421449032284514,1.956443120764516e-09,-31.0259637364492,7.621316936767222,1.956443120764516e-09,-32.88984160276233,8.520232533140202,1.956443120764516e-09,-42.41703309213479,16.23194621852623
1.978086948766293e-09,-25.34105838554028,5.366609149921605,1.978086948766293e-09,-31.05563253015686,7.546291997865441,1.978086948766293e-09,-32.92516572527209,8.437510915019192,1.978086948766293e-09,-42.5148673303519,16.09903641773571
1.999970219093583e-09,-25.35840854375222,5.312218695392198,1.999970219093583e-09,-31.08451641339766,7.471817240962098,1.999970219093583e-09,-32.95958770758643,8.35536290613736,1.999970219093583e-09,-42.61082025059982,15.96647225331643
2.022095580659844e-09,-25.37525642147222,5.258277379860986,2.022095580659844e-09,-31.11262758827605,7.397894355781137,2.022095580659844e-09,-32.99312195992705,8.273791900294384,2.022095580659844e-09,-42.70491202484529,15.83427556291952
2.044465711683051e-09,-25.39161019580939,5.204784562754343,2.044465711683051e-09,-31.13997868756521,7.324525098875003,2.044465711683051e-09,-33.02578196785812,8.19280059438041,2.044465711683051e-09,-42.79716466548481,15.70246891978903
2.067083320009894e-09,-25.40747816157907,5.151739594029462,2.067083320009894e-09,-31.16658142192117,7.251710621204901,2.067083320009894e-09,-33.05758156886159,8.112391686655629,2.067083320009894e-09,-42.88759878148538,15.57107285656125
2.089951143443551e-09,-25.42286850286469,5.099141717200017,2.089951143443551e-09,-31.1924481383935,7.179452252658436,2.089951143443551e-09,-33.08853414783444,8.032567456271646,2.089951143443551e-09,-42.97623565216243,15.44010768292561
2.113071950075095e-09,-25.4377891492793,5.046990013958021,2.113071950075095e-09,-31.21759048026162,7.107750845322549,2.113071950075095e-09,-33.11865309688668,7.95333001478715,2.113071950075095e-09,-43.06309720491673,15.3095934597732
2.13644853861856e-09,-25.45224822167383,4.995283592176381,2.13644853861856e-09,-31.24202011248977,7.036607139200377,2.13644853861856e-09,-33.14795147873323,7.874681140788773,2.13644853861856e-09,-43.1482048712657,15.17954907797315
2.160083738749723e-09,-25.46625344555594,4.944021346733231,2.160083738749723e-09,-31.2657487181469,6.966021762245811,2.160083738749723e-09,-33.17644269608407,7.796622624958638,2.160083738749723e-09,-43.23158051336902,15.04999304476628
2.183980411448629e-09,-25.47981238095353,4.893202060814109,2.183980411448629e-09,-31.2887875017349,6.895995003069355,2.183980411448629e-09,-33.20413938273111,7.71915572041778,2.183980411448629e-09,-43.31324584822627,14.92094303897297
2.208141449345898e-09,-25.49293271170631,4.842824523806544,2.208141449345898e-09,-31.31114789018617,6.826527145811416,2.208141449345898e-09,-33.23105440502459,7.642281652944876,2.208141449345898e-09,-43.39322280831035,14.79241622117414
2.232569777072882e-09,-25.50562167691326,4.792887308731672,2.232569777072882e-09,-31.33284093914619,6.757618198634466,2.232569777072882e-09,-33.25720031192647,7.566001354197489,2.232569777072882e-09,-43.47153352635373,14.6644292352573
2.257268351615672e-09,-25.51788685481533,4.74338908314768,2.257268351615672e-09,-31.35387763393328,6.689268039591598,2.257268351615672e-09,-33.28258966421812,7.49031562902452,2.257268351615672e-09,-43.54819977008925,14.536997798474
2.282240162673042e-09,-25.52973531879117,4.694328282507478,2.282240162673042e-09,-31.37426860351616,6.621476294423665,2.282240162673042e-09,-33.30723471318972,7.415225007790075,2.282240162673042e-09,-43.62324421740556,14.41013768354907
2.307488233018344e-09,-25.54117420536921,4.645703334403903,2.307488233018344e-09,-31.39402460599643,6.554242558492732,2.307488233018344e-09,-33.33114740967679,7.34072976162424,2.307488233018344e-09,-43.69668806243814,14.28386294989341
2.333015618865399e-09,-25.55221030383037,4.597512505749417,2.333015618865399e-09,-31.41315614547908,6.487566230349883,2.333015618865399e-09,-33.3543401425763,7.266830249305611,2.333015618865399e-09,-43.76855411532926,14.1581882657362
2.358825410238455e-09,-25.56285074219607,4.549754161444373,2.358825410238455e-09,-31.43167366637151,6.421446602142781,2.358825410238455e-09,-33.37682447795554,7.193526339872214,2.358825410238455e-09,-43.83886387278964,14.03312676928765
2.384920731346217e-09,-25.57310210603304,4.502426438973901,2.384920731346217e-09,-31.44958718439419,6.355882707633031,2.384920731346217e-09,-33.39861190683505,7.120817769420426,2.384920731346217e-09,-43.90763969080205,13.90869167197206
2.41130474096003e-09,-25.58297098930678,4.455527456955142,2.41130474096003e-09,-31.46690694302037,6.290873606225589,2.41130474096003e-09,-33.41971425247264,7.0487043238263,2.41130474096003e-09,-43.97490350536046,13.78489535033354
2.437980632796239e-09,-25.59246412391305,4.409055360909517,2.437980632796239e-09,-31.48364267595839,6.226418076238612,2.437980632796239e-09,-33.44014284734278,6.977185474220763,2.437980632796239e-09,-44.04067718825851,13.66174962466372
2.464951635902777e-09,-25.60158766050488,4.363008069553007,2.464951635902777e-09,-31.49980425638147,6.162514891249103,2.464951635902777e-09,-33.45990875049754,6.906260484675772,2.464951635902777e-09,-44.10498253953985,13.53926577218441
2.492221015050038e-09,-25.61034802793557,4.31738358339612,2.492221015050038e-09,-31.51540115406842,6.099162600348784,2.492221015050038e-09,-33.4790228555871,6.835928466429696,2.492221015050038e-09,-44.16784180807252,13.41745489201485
2.519792071126066e-09,-25.61875147515952,4.272179822964574,2.519792071126066e-09,-31.53044306957445,6.036359789470218,2.519792071126066e-09,-33.49749628875889,6.766188550213701,2.519792071126066e-09,-44.22927644622714,13.29632708029209
2.547668141536118e-09,-25.62680395288043,4.227394592566054,2.547668141536118e-09,-31.54493904628358,5.974104729522398,2.547668141536118e-09,-33.51533981155395,6.69703963427653,2.547668141536118e-09,-44.28930781800101,13.17589193736616
2.575852600606652e-09,-25.63451156322207,4.183025736145518,2.575852600606652e-09,-31.55889853931552,5.912395805454198,2.575852600606652e-09,-33.53256373715067,6.628480360243868,2.575852600606652e-09,-44.34795823170948,13.05615924715556
2.604348859993776e-09,-25.6418800580704,4.139070969000437,2.604348859993776e-09,-31.57233044910654,5.851231138259347,2.604348859993776e-09,-33.54917861800912,6.560509403435352,2.604348859993776e-09,-44.40524849604872,12.93713740082309
2.633160369096224e-09,-25.6489153443459,4.09552804918086,2.633160369096224e-09,-31.58524348530393,5.790608735468195,2.633160369096224e-09,-33.56519475862341,6.493125273104292,2.633160369096224e-09,-44.46120034921739,12.81883499005903
2.662290615472895e-09,-25.65562299149757,4.052394615850767,2.662290615472895e-09,-31.59764668104469,5.730526687864663,2.662290615472895e-09,-33.58062203566432,6.426326248070843,2.662290615472895e-09,-44.51583489344609,12.70125981246985
2.691743125265014e-09,-25.6620086070989,4.009668315209959,2.691743125265014e-09,-31.60954845557426,5.670982816926487,2.691743125265014e-09,-33.59547075452032,6.360110722431751,2.691743125265014e-09,-44.56917328166879,12.58441932637122
2.72152146362296e-09,-25.66807771585274,3.967346761625997,2.72152146362296e-09,-31.6209573042924,5.611974940274992,2.72152146362296e-09,-33.6097503335486,6.294476687900249,2.72152146362296e-09,-44.62123670823857,12.46832065302181
2.751629235137821e-09,-25.67383552764362,3.925427466837226,2.751629235137821e-09,-31.63188162958834,5.553500809378418,2.751629235137821e-09,-33.62347053289662,6.229422224116439,2.751629235137821e-09,-44.67204556420248,12.35297008042418
2.782070084277719e-09,-25.6792874771712,3.883908011662478,2.782070084277719e-09,-31.6423293361929,5.495557967545234,2.782070084277719e-09,-33.63664089263718,6.164945279351899,2.782070084277719e-09,-44.72162078269668,12.23837389462062
2.812847695828964e-09,-25.68443869328244,3.842785880354152,2.812847695828964e-09,-31.65230898322161,5.438144166603534,2.812847695828964e-09,-33.64927074064962,6.101043678915619,2.812847695828964e-09,-44.76998315476641,12.12453796990506
2.843965795342088e-09,-25.68929418497093,3.802058521826547,2.843965795342088e-09,-31.66182807293586,5.38125675742641,2.843965795342088e-09,-33.66136911113111,6.037715100196937,2.843965795342088e-09,-44.81715267006755,12.01146740259455
2.875428149582813e-09,-25.69385896041321,3.761723386996139,2.875428149582813e-09,-31.67089444549213,5.324893192016174,2.875428149582813e-09,-33.67294519839751,5.974957244981782,2.875428149582813e-09,-44.86314983839954,11.89916729794827
2.907238566988006e-09,-25.6981379709376,3.721777912148731,2.907238566988006e-09,-31.6795158700065,5.269050877568126,2.907238566988006e-09,-33.68400791003297,5.912767675268267,2.907238566988006e-09,-44.90799485654502,11.78764229119606
2.939400898126686e-09,-25.70213600265745,3.682219488211485,2.939400898126686e-09,-31.68769973561914,5.213727073988194,2.939400898126686e-09,-33.69456587829209,5.851143823708609,2.939400898126686e-09,-44.95170712858894,11.67689629872388
2.971919036166121e-09,-25.70585762950813,3.643045449808295,2.971919036166121e-09,-31.69545360769754,5.158919086546711,2.971919036166121e-09,-33.7046276433073,5.790083064164238,2.971919036166121e-09,-44.99430672266845,11.56693335000882
3.004796917343086e-09,-25.70930771393568,3.604253220982886,3.004796917343086e-09,-31.70278445542678,5.10462400830085,3.004796917343086e-09,-33.71420182658949,5.729582774280157,3.004796917343086e-09,-45.03581307285778,11.45775686790074
3.038038521440337e-09,-25.71249058409148,3.565840078861947,3.038038521440337e-09,-31.70969966201015,5.050839060158738,3.038038521440337e-09,-33.72329661932773,5.66964015774415,3.038038521440337e-09,-45.07624562371225,11.34937004033989
3.07164787226835e-09,-25.71541080761527,3.527803377250532,3.07164787226835e-09,-31.7162060309485,4.997561263370779,3.07164787226835e-09,-33.73192030295197,5.610252430376041,3.07164787226835e-09,-45.11562366667462,11.2417757387608
3.105629038152396e-09,-25.71807265160137,3.49014039406322,3.105629038152396e-09,-31.72231062872557,4.94478771830982,3.105629038152396e-09,-33.7400806637198,5.551416621285356,3.105629038152396e-09,-45.15396602777146,11.13497636461461
3.139986132425e-09,-25.72048046404036,3.45284843954234,3.139986132425e-09,-31.72802011059229,4.892515387536132,3.139986132425e-09,-33.74778591788959,5.493129890654236,3.139986132425e-09,-45.19129154002809,11.02897411294195
3.174723313923849e-09,-25.72263846295247,3.415924798054124,3.174723313923849e-09,-31.733341030624,4.840741199562999,3.174723313923849e-09,-33.75504379610206,5.435389220104605,3.174723313923849e-09,-45.22761888361089,10.92377089488685
3.209844787495209e-09,-25.72455064055061,3.379366704343797,3.209844787495209e-09,-31.73828020660382,4.789462162737096,3.209844787495209e-09,-33.76186164554733,5.37819145520751,3.209844787495209e-09,-45.26296643265716,10.81936826920621
3.245354804502909e-09,-25.72622113046541,3.343171443246576,3.245354804502909e-09,-31.74284363635715,4.738675031006125,3.245354804502909e-09,-33.76824716552023,5.32153354934605,3.245354804502909e-09,-45.2973525617799,10.71576760848806
3.281257663342963e-09,-25.72765384929625,3.307336254096922,3.281257663342963e-09,-31.74703780908436,4.688376712233671,3.281257663342963e-09,-33.77420759979388,5.26541230013895,3.281257663342963e-09,-45.33079504028435,10.61296980382986
3.317557709963871e-09,-25.72885270701849,3.271858387772004,3.317557709963871e-09,-31.75086884173132,4.638564002840901,3.317557709963871e-09,-33.77975030539223,5.209824536680951,3.317557709963871e-09,-45.36331194054558,10.51097572920313
3.354259338392695e-09,-25.72982136153911,3.236735044087811,3.354259338392695e-09,-31.75434284325107,4.58923370102824,3.354259338392695e-09,-33.78488228142994,5.154766970817137,3.354259338392695e-09,-45.39492073495141,10.40978580044025
